v0= 3.0
       tid (s)        -->   Høyde (m) 
       0.042        s -->   0.1173  m
     0.0519085      s -->   0.1425  m
     0.10262264     s -->   0.2562  m
       0.1117       s -->   0.2739  m
      0.15592       s -->   0.3485  m
     0.17383923     s -->   0.3733  m
     0.2094294      s -->   0.4132  m
     0.21342619     s -->   0.4169  m
     0.21385894     s -->   0.4172  m
        0.27        s -->   0.4524  m
      0.28075       s -->   0.4556  m
     0.29584013     s -->   0.4582  m
     0.3464815      s -->   0.4506  m
        0.35        s -->   0.4491  m
     0.36807889     s -->   0.4397  m
      0.372985      s -->   0.4366  m
     0.39325246     s -->   0.4212  m
     0.50620017     s -->   0.2618  m
       0.528        s -->   0.2166  m
      0.53012       s -->   0.2119  m
   0.57681501876    s -->   0.0985  m
     0.57982969     s -->   0.0904  m
